Location,Net Annual Sales,Number of Female Employees
"Millburn, NJ",150803012,27
"Los Angeles, CA",110872084,17
"Houston, TX",183945873,22
"Miami, FL",156355396,18
"San Mateo, CA",143108603,17
"Seattle, WA",142755480,33
Arlington VA,144772604,28
"Portland, OR",179608438,32
"Reno, NV",145101244,19
"Chicago, IL",171491596,24
"Atlanta, GA",198386988,27
"Orlando, FL",180188054,24
"Jacksonville, FL",158479693,32
"Round Rock, TX",181820474,27
"Phoenix, AZ",95512810.7,18
"Charlotte, NC",199653776,32
"Philadelphia, PA",193111679,31
"Kansas City, MO",176816637,35
"Dallas, TX",168769837,33
"Boston, MA",350520724,20
